lake,core_depth_id,age_bp,age_ce,high_profile,low_profile,motile,euplanktonic,algivore,detritivore,plantivore,predator
Azul,AZ11_02_144_8,668.5,1281.5,15,127,266,6,26,0,0,8
Azul,AZ11_02_143_8,667.5,1282.5,34,174,194,6,0,0,0,4
Azul,AZ11_02_142_8,666.6,1283.4,22,209,169,10,4,0,0,2
Azul,AZ11_02_141_8,665.7,1284.3,34,164,206,6,16,0,0,8
Azul,AZ11_02_140_8,664.8,1285.2,44,190,170,1,28,0,0,4
Azul,AZ11_02_139_8,663.9,1286.1,33,154,218,6,6,0,0,0
Azul,AZ11_02_138_8,663,1287,29,163,208,4,22,0,0,14
Azul,AZ11_02_136_8,661.2,1288.8,67,205,140,1,16,0,0,0
Azul,AZ11_02_135_8,660.3,1289.7,31,133,242,6,2,0,0,0
Azul,AZ11_02_134_8,659.4,1290.6,95,109,196,11,10,0,0,0
Azul,AZ11_02_133_8,658.4,1291.6,30,123,256,6,4,2,0,2
Azul,AZ11_02_132_8,657.5,1292.5,16,112,270,9,30,2,0,2
Azul,AZ11_02_131_8,656.6,1293.4,28,113,268,6,30,0,4,5
Azul,AZ11_02_130_8,655.7,1294.3,4,75,326,5,64,6,2,8
Azul,AZ11_02_129_8,654.8,1295.2,27,103,280,5,20,2,6,0
Azul,AZ11_02_128_8,653.9,1296.1,20,156,237,9,58,0,2,2
Azul,AZ11_02_127_8,653,1297,26,95,291,5,2,4,0,0
Azul,AZ11_02_126_8,652.1,1297.9,2,22,414,1,56,0,6,0
Azul,AZ11_02_125_8,651.2,1298.8,25,87,301,5,44,2,2,2
Azul,AZ11_02_124_8,650.3,1299.7,27,73,317,4,44,2,2,6
Azul,AZ11_02_123_8,649.3,1300.7,24,80,309,5,46,4,0,6
Azul,AZ11_02_122_8,648.43,1301.57,19,36,352,7,30,2,0,8
Azul,AZ11_02_121_8,638.73,1311.27,10,51,357,2,36,2,2,10
Azul,AZ11_02_120_8,629.01,1320.99,29,63,325,3,50,0,2,4
Azul,AZ11_02_119_8,619.25,1330.75,98,137,171,9,68,4,4,2
Azul,AZ11_02_118_8,609.43,1340.57,115,140,169,9,64,10,10,4
Azul,AZ11_02_117_8,599.52,1350.48,95,101,223,5,58,8,4,0
Azul,AZ11_02_116_8,589.5,1360.5,91,74,261,0,50,0,2,6
Azul,AZ11_02_115_8,579.35,1370.65,33,69,309,1,36,0,0,8
Azul,AZ11_02_114_8,569.05,1380.95,205,50,159,3,2,0,0,0
Azul,AZ11_02_113_8,565.26,1384.74,133,62,217,3,4,0,0,0
Azul,AZ11_02_112_8,558.57,1391.43,136,68,206,4,2,0,0,0
Azul,AZ11_02_111_8,547.89,1402.11,117,78,215,4,8,0,2,2
Azul,AZ11_02_110_8,537,1413,106,83,213,7,24,0,0,0
Azul,AZ11_02_109_8,525.86,1424.14,31,113,288,3,44,2,2,0
Azul,AZ11_02_108_8,514.46,1435.54,34,221,152,2,32,0,0,0
Azul,AZ11_02_107_8,502.77,1447.23,32,153,234,4,26,2,2,6
Azul,AZ11_02_106_8,490.78,1459.22,26,121,274,6,56,4,8,12
Azul,AZ11_02_105_8,478.45,1471.55,80,117,230,4,82,4,6,18
Azul,AZ11_02_104_8,465.78,1484.22,162,75,199,1,74,4,0,14
Azul,AZ11_02_103_8,452.73,1497.27,95,117,212,6,84,0,0,8
Azul,AZ11_02_102_8,439.28,1510.72,197,49,164,1,50,4,8,8
Azul,AZ11_02_101_8,425.42,1524.58,204,67,134,2,112,4,2,16
Azul,AZ11_02_100_8,411.11,1538.89,160,100,163,3,62,0,0,6
Azul,AZ11_02_99_8,396.34,1553.66,148,122,172,2,6,0,0,2
Azul,AZ11_02_98_8,381.09,1568.91,84,91,229,1,20,0,4,4
Azul,AZ11_02_97_8,365.33,1584.67,97,105,206,3,14,0,0,6
Azul,AZ11_02_96_8,349.07,1600.93,194,68,142,2,8,0,0,4
Azul,AZ11_02_95_8,332.41,1617.59,240,119,85,13,12,0,0,4
Azul,AZ11_02_94_8,315.48,1634.52,188,108,80,35,6,0,0,2
Azul,AZ11_02_93_8,298.41,1651.59,231,90,91,3,18,0,0,0
Azul,AZ11_02_92_8,296.86,1653.14,228,76,96,6,46,0,16,8
Azul,AZ11_02_91_8,281.34,1668.66,208,126,80,7,44,0,6,10
Azul,AZ11_02_90_8,264.39,1685.61,162,197,40,5,78,0,8,18
Azul,AZ11_02_89_8,247.69,1702.31,221,123,66,6,44,0,2,4
Azul,AZ11_02_88_8,246.18,1703.82,244,59,131,1,92,0,6,20
Azul,AZ11_02_87_8,231.37,1718.63,222,110,89,2,82,0,2,12
Azul,AZ11_02_86_8,215.57,1734.43,218,124,77,3,32,0,2,4
Azul,AZ11_02_85_8,200.41,1749.59,194,121,88,12,24,0,0,2
Azul,AZ11_02_84_8,186.02,1763.98,154,159,87,6,54,0,0,6
Azul,AZ11_02_83_8,176.43,1773.57,187,102,95,31,42,0,0,14
Azul,AZ11_02_82_8,176.24,1773.76,213,85,91,20,8,0,0,2
Azul,AZ11_02_81_8,176.06,1773.94,180,80,122,20,20,0,1,3
Azul,AZ11_02_80_8,175.88,1774.12,170,79,135,41,6,0,0,0
Azul,AZ11_02_79_8,175.7,1774.3,164,123,85,46,2,0,0,0
Azul,AZ11_02_78_8,175.52,1774.48,228,59,116,8,6,0,0,0
Azul,AZ11_02_76_8,175.16,1774.84,177,110,61,60,0,0,2,0
Azul,AZ11_02_75_8,162.49,1787.51,213,103,66,48,26,2,4,6
Azul,AZ11_02_74_8,150.96,1799.04,153,112,134,11,206,0,8,40
Azul,AZ11_02_73_8,140.71,1809.29,224,128,74,17,90,0,8,14
Azul,AZ11_02_72_8,131.81,1818.19,228,101,73,21,90,2,26,2
Azul,AZ11_02_71_8,124.19,1825.81,170,169,62,10,48,2,8,0
Azul,AZ11_02_70_8,117.73,1832.27,184,205,56,13,36,2,2,2
Azul,AZ11_02_69_8,112.32,1837.68,195,208,66,15,30,2,6,0
Azul,AZ11_02_68_8,107.83,1842.17,161,161,87,10,42,0,0,0
Azul,AZ11_02_67_8,104.16,1845.84,223,174,76,15,36,0,4,0
Azul,AZ11_02_66_8,101.17,1848.83,142,188,85,30,6,4,2,0
Azul,AZ11_02_65_8,98.76,1851.24,169,124,104,22,20,2,0,0
Azul,AZ11_02_64_8,96.8,1853.2,147,133,104,24,24,2,0,2
Azul,AZ11_02_63_8,95.18,1854.82,159,116,109,38,26,4,0,0
Azul,AZ11_02_62_8,93.77,1856.23,168,143,130,35,22,2,2,0
Azul,AZ11_02_61_8,92.47,1857.53,183,110,103,33,16,2,2,0
Azul,AZ11_02_60_8,91.15,1858.85,83,55,26,253,24,8,10,2
Azul,AZ11_02_59_8,89.69,1860.31,200,107,78,26,14,2,0,0
Azul,AZ11_02_58_8,87.98,1862.02,187,115,92,27,14,4,2,0
Azul,AZ11_02_57_8,85.9,1864.1,219,82,110,33,4,0,0,0
Azul,AZ11_02_56_8,83.41,1866.59,184,144,106,29,12,2,2,0
Azul,AZ11_02_55_8,80.49,1869.51,234,97,71,35,4,2,0,0
Azul,AZ11_02_54_8,77.15,1872.85,174,150,86,24,4,2,2,0
Azul,AZ11_02_53_8,73.44,1876.56,210,136,69,33,2,0,2,0
Azul,AZ11_02_52_8,69.4,1880.6,186,117,58,62,18,0,8,0
Azul,AZ11_02_51_8,65.1,1884.9,234,107,59,49,0,0,2,0
Azul,AZ11_02_50_8,60.59,1889.41,255,85,57,66,5,0,6,0
Azul,AZ11_02_49_8,55.91,1894.09,149,73,39,178,5,0,6,0
Azul,AZ11_02_48_8,51.09,1898.91,167,135,76,23,12,0,14,0
Azul,AZ11_02_47_8,46.14,1903.86,86,36,27,272,2,0,6,0
Azul,AZ11_02_46_8,41.07,1908.93,65,29,38,290,4,0,0,0
Azul,AZ11_02_45_8,35.91,1914.09,132,36,45,237,3,0,5,0
Azul,AZ11_02_44_8,30.68,1919.32,104,25,24,296,2,0,8,0
Azul,AZ11_02_43_8,25.38,1924.62,100,40,34,244,2,0,3,0
Azul,AZ11_02_42_8,20.04,1929.96,129,72,70,165,2,0,2,0
Azul,AZ11_02_41_8,14.68,1935.32,106,34,37,242,2,0,2,0
Azul,AZ11_02_40_8,9.32,1940.68,134,68,24,190,0,2,0,0
Azul,AZ11_02_39_8,4.04,1945.96,131,66,31,212,6,0,0,0
Azul,AZ11_02_38_8,-1.07,1951.07,114,65,89,144,4,0,2,0
Azul,AZ11_02_37_8,-5.85,1955.85,180,112,92,57,22,0,2,0
Azul,AZ11_02_36_8,-10.16,1960.16,138,97,106,71,18,4,14,0
Azul,AZ06_28_25,-14.5,1964.5,97,64,39,96,21,2,9,0
Azul,AZ06_26_25,-19,1969,216,106,24,140,24,3,11,0
Azul,AZ06_24_25,-23,1973,139,100,44,189,27,3,13,0
Azul,AZ06_22_25,-28,1978,129,126,35,216,31,4,15,0
Azul,AZ06_20_25,-33,1983,116,147,44,222,35,5,17,0
Azul,AZ06_18_25,-39,1989,120,67,27,290,40,5,19,0
Azul,AZ06_16_25,-44,1994,131,103,43,259,44,6,22,0
Azul,AZ06_14_25,-48,1998,116,66,45,278,47,6,23,0
Azul,AZ06_12_25,-49.5,1999.5,118,53,25,286,48,6,24,0
Azul,AZ06_10_25,-51,2001,88,79,35,281,49,7,25,0
Azul,AZ06_8_25,-52,2002,91,72,27,292,50,7,25,0
Azul,AZ06_6_25,-53,2003,95,60,40,351,51,7,25,0
Azul,AZ06_4_25,-54,2004,77,58,46,306,51,7,26,0
Azul,AZ06_2_25,-55,2005,75,40,18,384,52,7,26,0
Azul,AZ06_1_75,-55.3,2005.3,80,45,29,348,52,7,26,0
Azul,AZ06_1_25,-55.6,2005.6,72,44,15,362,53,7,27,0
Azul,AZ06_0_75,-55.8,2005.8,85,60,21,311,53,7,27,0
Azul,AZ06_0_25,-56,2006,107,61,44,296,53,7,27,0
Caldeirao,CL17-03_5680,3707.72,-1757.72,265,9,23,0,80,16,3,6
Caldeirao,CL17-03_5679,3706.44,-1756.44,251,7,23,14,76,12,11,13
Caldeirao,CL17-03_5610,3618.2,-1668.2,273,10,26,0,67,14,6,14
Caldeirao,CL17-03_5540,3528.68,-1578.68,272,9,26,0,75,12,11,12
Caldeirao,CL17-03_5470,3439.16,-1489.16,290,10,32,2,104,26,0,7
Caldeirao,CL17-03_5400,3349.64,-1399.64,308,11,38,4,62,29,15,4
Caldeirao,CL17-03_5180,3068.29,-1118.29,317,10,41,12,65,15,8,6
Caldeirao,CL17-03_5167,3051.66,-1101.66,280,8,47,15,61,28,14,3
Caldeirao,CL17-03_5070,2966.94,-1016.94,322,10,43,15,85,25,5,16
Caldeirao,CL17-03_5055,2954.69,-1004.69,219,8,55,24,60,28,14,3
Caldeirao,CL17-03_4950,2868.99,-918.99,325,10,45,18,91,21,7,8
Caldeirao,CL17-03_4887,2817.57,-867.57,208,10,50,26,59,28,13,2
Caldeirao,CL17-03_4840,2779.21,-829.21,328,10,46,20,86,6,14,15
Caldeirao,CL17-03_4730,2689.43,-739.43,329,10,48,22,169,16,21,22
Caldeirao,CL17-03_4720,2681.27,-731.27,192,23,148,2,58,27,13,2
Caldeirao,CL17-03_4620,2599.65,-649.65,330,9,49,24,110.5,6,6,21
Caldeirao,CL17-03_4552,2544.15,-594.15,273,6,46,6,58,26,12,2
Caldeirao,CL17-03_4510,2509.87,-559.87,330,9,50,26,96,12,19,20
Caldeirao,CL17-03_4400,2420.08,-470.08,330,9,51,28,70,14,7,15
Caldeirao,CL17-03_4385,2407.84,-457.84,325,2,53,9,59,25,11,3
Caldeirao,CL17-03_4280,2322.82,-372.82,328,9,52,30,110.5,19,11,23
Caldeirao,CL17-03_4217,2282.19,-332.19,284,4,54,4,59,23,11,3
Caldeirao,CL17-03_4167,2249.94,-299.94,348,0,31,7,60,22,10,3
Caldeirao,CL17-03_3999,2141.58,-191.58,283,2,51,10,60,21,10,4
Caldeirao,CL17-03_3950,2109.98,-159.98,321,8,56,33,127,42,9,21
Caldeirao,CL17-03_3840,2039.03,-89.03,318,8,57,34,122,15,18,21
Caldeirao,CL17-03_3832,2033.87,-83.87,275,7,82,6,61,19,9,5
Caldeirao,CL17-03_3764,1990.01,-40.01,259,5,47,15,62,18,9,5
Caldeirao,CL17-03_3742,1975.82,-25.82,311,4,42,15,62,18,9,5
Caldeirao,CL17-03_3731,1968.72,-18.72,510,4,108,32,62,18,9,5
Caldeirao,CL17-03_3730,1968.08,-18.08,315,8,58,35,149,25,27,21
Caldeirao,CL17-03_3697,1946.79,3.21,233,5,45,11,62,18,9,5
Caldeirao,CL17-03_3690,1942.28,7.72,314,8,58,35,18,6,5,12
Caldeirao,CL17-03_3675,1932.6,17.4,201,7,119,9,62,18,9,6
Caldeirao,CL17-03_3664,1925.51,24.49,236,0,93,14,62,17,8,6
Caldeirao,CL17-03_3642,1911.32,38.68,252,1,91,1,62,17,8,6
Caldeirao,CL17-03_3618,1895.84,54.16,267,3,16,4,62,17,8,6
Caldeirao,CL17-03_3610,1890.68,59.32,311,7,59,35,117,7,23,8
Caldeirao,CL17-03_3608,1889.39,60.61,321,3,53,6,63,17,8,6
Caldeirao,CL17-03_3600,1884.23,65.77,310,7,60,35,45,14,3,7
Caldeirao,CL17-03_3560,1858.43,91.57,309,7,60,35,29,3,8,4
Caldeirao,CL17-03_3407,1759.74,190.26,268,5,72,2,64,15,8,7
Caldeirao,CL17-03_3390,1748.78,201.22,302,7,63,36,51,18,12,17
Caldeirao,CL17-03_3386,1746.2,203.8,238,5,73,4,64,15,8,7
Caldeirao,CL17-03_3366,1733.3,216.7,289,5,58,5,64,15,8,7
Caldeirao,CL17-03_3360,1729.43,220.57,300,7,63,36,86,12,9,25
Caldeirao,CL17-03_3345,1719.76,230.24,262,3,50,12,64,15,7,7
Caldeirao,CL17-03_3340,1716.53,233.47,299,7,63,36,60,10,10,26
Caldeirao,CL17-03_3253,1660.42,289.58,255,0,43,56,65,14,7,8
Caldeirao,CL17-03_3250,1658.48,291.52,295,7,65,36,100,23,12,15
Caldeirao,CL17-03_3150,1593.98,356.02,290,7,67,36,116,17,10,4
Caldeirao,CL17-03_3099,1561.09,388.91,202,7,60,52,65,13,7,8
Caldeirao,CL17-03_3050,1529.48,420.52,285,7,69,35,141,24,23,10
Caldeirao,CL17-03_2945,1461.76,488.24,222,5,41,22,66,13,7,9
Caldeirao,CL17-03_2940,1458.53,491.47,279,7,71,35,135,31,26,20
Caldeirao,CL17-03_2840,1394.03,555.97,273,7,73,34,41,8,8,6
Caldeirao,CL17-03_2791,1362.43,587.57,253,1,33,37,67,13,6,10
Caldeirao,CL17-03_2740,1329.53,620.47,267,7,76,33,69,17,13,9
Caldeirao,CL17-03_2640,1265.03,684.97,260,7,79,32,86,16,9,16
Caldeirao,CL17-03_2637,1263.1,686.9,287,12,59,13,67,13,6,10
Caldeirao,CL17-03_2530,1194.09,755.91,253,7,82,31,125,28,16,16
Caldeirao,CL17-03_2484,1164.42,785.58,246,7,71,23,67,13,6,11
Caldeirao,CL17-03_2430,1142.29,807.71,247,8,84,30,82,12,10,18
Caldeirao,CL17-03_2330,1109.54,840.46,264,8,72,30,60,6,5,10
Caldeirao,CL17-03_2230,1076.8,873.2,240,8,88,28,99,14,19,12
Caldeirao,CL17-03_2176,1059.12,890.88,210,14,76,15,67,15,7,11
Caldeirao,CL17-03_2120,1040.78,909.22,236,8,90,27,26,5,2,11
Caldeirao,CL17-03_2022,1008.69,941.31,167,6,44,46,67,15,7,11
Caldeirao,CL17-03_2020,1008.03,941.97,232,8,91,26,84,9,7,13
Caldeirao,CL17-03_1920,975.29,974.71,229,8,93,25,62,10,16,11
Caldeirao,CL17-03_1870,958.92,991.08,227,8,94,25,74,4,10,8
Caldeirao,CL17-03_1868,958.26,991.74,230,8,65,24,67,16,7,12
Caldeirao,CL17-03_1822,936.94,1013.06,216,3,82,27,67,17,7,12
Caldeirao,CL17-03_1690,838.61,1111.39,216,9,99,21,111,11,4,7
Caldeirao,CL17-03_1553,736.55,1213.45,256,2,56,30,61,18,8,11
Caldeirao,CL17-03_1520,711.97,1238.03,191,3,39,65,60,18,8,11
Caldeirao,CL17-03_1510,704.52,1245.48,209,10,102,15,142,33,31,27
Caldeirao,CL17-03_1476,686.52,1263.48,242,2,47,62,59,18,8,11
Caldeirao,CL17-03_1432,676.79,1273.21,321,2,19,44,58,18,8,11
Caldeirao,CL17-03_1430,676.35,1273.65,209,11,101,14,107,7,18,13
Caldeirao,CL17-03_1390,667.5,1282.5,209,11,101,14,82,11,11,19
Caldeirao,CL17-03_1388,667.06,1282.94,273,3,55,25,58,18,8,10
Caldeirao,CL17-03_1355,659.76,1290.24,177,3,54,84,57,18,8,10
Caldeirao,CL17-03_1350,658.66,1291.34,209,11,101,13,73,12,12,11
Caldeirao,CL17-03_1344,657.33,1292.67,269,8,99,70,57,18,8,10
Caldeirao,CL17-03_1300,647.6,1302.4,153,9,136,14,80,35,11,15
Caldeirao,CL17-03_1260,638.75,1311.25,209,11,101,13,109,38,6,14
Caldeirao,CL17-03_1256,637.87,1312.13,217,14,129,3,56,17,8,10
Caldeirao,CL17-03_1212,628.14,1321.86,216,7,111,2,55,17,8,10
Caldeirao,CL17-03_1210,627.69,1322.31,209,11,101,12,76,63,10,11
Caldeirao,CL17-03_1135,611.11,1338.89,188,10,95,1,54,17,8,10
Caldeirao,CL17-03_1120,607.79,1342.21,210,11,100,11,34,3,1,6
Caldeirao,CL17-03_1080,587.19,1362.81,255,10,118,5,52,16,8,9
Caldeirao,CL17-03_1026,543.5,1406.5,252,2,58,2,48,15,8,9
Caldeirao,CL17-03_1020,538.65,1411.35,213,12,97,8,129,25,8,14
Caldeirao,CL17-03_971,499.01,1450.99,284,9,65,3,44,14,8,8
Caldeirao,CL17-03_938,472.31,1477.69,233,5,45,1,42,13,8,8
Caldeirao,CL17-03_894,436.72,1513.28,259,18,42,1,38,12,8,7
Caldeirao,CL17-03_860,409.22,1540.78,222,14,90,2,37,3,4,12
Caldeirao,CL17-03_850,401.13,1548.87,258,16,68,0,19,0,6,3
Caldeirao,CL17-03_810,379.07,1570.93,225,15,88,1,2,2,5,0
Caldeirao,CL17-03_806,376.87,1573.13,385,119,183,2,33,9,8,6
Caldeirao,CL17-03_762,352.61,1597.39,190,58,87,2,30,9,7,5
Caldeirao,CL17-03_720,329.45,1620.55,229,16,85,0,22,1,139,0
Caldeirao,CL17-03_718,328.35,1621.65,228,53,80,0,28,8,7,5
Caldeirao,CL17-03_680,307.39,1642.61,230,16,84,0,24,0,90,0
Caldeirao,CL17-03_674,304.08,1645.92,278,35,54,0,25,7,7,5
Caldeirao,CL17-03_630,279.82,1670.18,219,45,85,0,23,6,7,4
Caldeirao,CL17-03_593,259.42,1690.58,234,17,81,0,12,3,32,0
Caldeirao,CL17-03_586,255.56,1694.44,153,44,146,0,21,5,7,4
Caldeirao,CL17-03_549,235.16,1714.84,236,17,79,0,29,2,12,0
Caldeirao,CL17-03_542,231.3,1718.7,144,41,121,5,18,4,7,3
Caldeirao,CL17-03_531,225.24,1724.76,195,36,142,0,18,4,7,3
Caldeirao,CL17-03_505,210.9,1739.1,238,17,78,0,57,1,5,0
Caldeirao,CL17-03_480,197.12,1752.88,239,18,77,0,29,6,6,1
Caldeirao,CL17-03_476,194.91,1755.09,226,67,160,2,15,3,7,3
Caldeirao,CL17-03_421,164.59,1785.41,204,33,125,0,12,2,7,2
Caldeirao,CL17-03_380,141.98,1808.02,244,18,74,0,29,3,3,0
Caldeirao,CL17-03_366,134.26,1815.74,247,44,133,3,9,1,7,2
